run,step,n_gen,fid,jsd
20250707-055456,155999,4,1.8971683845721468,0.6644163218124092
20250707-055456,156999,4,1.869236421454531,0.6705892382148133
20250707-055456,157999,4,1.8488719313556339,0.6630776779051375
20250707-055456,158999,4,1.8825413367934185,0.677403419018955
20250707-055456,159999,4,1.8475212586626415,0.6766265920196495
20250707-055456,160999,4,2.0635473520465584,0.6668656709923328
20250707-055456,161999,4,1.8527858693559536,0.6677615406566885
20250707-055456,162999,4,2.1566852002821335,0.6685979341226848
20250707-055456,163999,4,1.8058605591852301,0.6734815759569978
20250707-055456,164999,4,1.8774252608605781,0.6585465200737491
20250707-055456,165999,4,1.878331880199642,0.6719535556049205
20250707-055456,166999,4,1.8395218002652192,0.680213017456321
20250707-055456,167999,4,1.875666861857305,0.6707195108450903
20250707-055456,168999,4,2.0069023111018267,0.6578087969160178
20250707-055456,169999,4,1.8900288191567884,0.6666019403335193
20250707-055456,170999,4,1.814923202648132,0.6679128293504302
20250707-055456,171999,4,1.8967824882492992,0.6696682523772803
20250707-055456,172999,4,1.8610247325560803,0.6649996165116242
20250707-055456,173999,4,1.8434090150518565,0.6684400333841894
20250707-055456,174999,4,1.8834309107450256,0.6594543177218808
20250707-055456,175999,4,1.83501117554382,0.647425305440635
20250707-055456,176999,4,1.8917504715293079,0.6589078765887968
20250707-055456,177999,4,1.8435699826885188,0.6712267454042407
20250707-055456,178999,4,1.8195589048901157,0.6660312962055925
20250707-055456,179999,4,1.9068981201624458,0.6709498304625694
20250707-055456,180999,4,1.8889132221785818,0.6696682523772803
20250707-055456,181999,4,1.8844099172865967,0.6515357601264187
20250707-055456,182999,4,1.980129990130245,0.6637365555242845
20250707-055456,183999,4,1.8486974778245213,0.6504786758918695
20250707-055456,184999,4,1.8075027023632249,0.6702956892771619
20250707-055456,185999,4,1.9679828785246758,0.6611240277651749
20250707-055456,186999,4,1.883581607712597,0.6764545184738713
20250707-055456,187999,4,1.8541021272009122,0.6593975734751358
20250707-055456,188999,4,1.9550431580529442,0.6789314393710322
20250707-055456,189999,4,1.8514869657365596,0.6628495405398056
20250707-055456,190999,4,1.887287165750197,0.6570490846821427
20250707-055456,191999,4,2.0740681100182288,0.6685979341226848
20250707-055456,192999,4,1.9535735418083207,0.6577863415733394
20250707-055456,193999,4,1.8645876807275172,0.6674644095506224
20250707-055456,194999,4,1.9437031067706365,0.6525847559306996
20250707-055456,195999,4,1.9398506729097795,0.6597650340320775
20250707-055456,196999,4,1.8163447776448587,0.6609269570869185
